title,link,pub_date
Markets fall for third day amid sell-off in RIL; Sensex falls 500 points - Business Standard,https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9tYXJrZXRzL21hcmtldHMtZmFsbC1mb3ItdGhpcmQtZGF5LWFtaWQtc2VsbC1vZmYtaW4tcmlsLXNlbnNleC1mYWxscy01MDAtcG9pbnRzLTEyMTAxMjYwMDA0M18xLmh0bWzSAZEBaHR0cHM6Ly93d3cuYnVzaW5lc3Mtc3RhbmRhcmQuY29tL2FtcC9hcnRpY2xlL21hcmtldHMvbWFya2V0cy1mYWxsLWZvci10aGlyZC1kYXktYW1pZC1zZWxsLW9mZi1pbi1yaWwtc2Vuc2V4LWZhbGxzLTUwMC1wb2ludHMtMTIxMDEyNjAwMDQzXzEuaHRtbA?oc=5,"Tue, 26 Jan 2021 08:00:00 GMT"
A brief history of short squeezes before GameStop | Stock Market News - Mint,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbWFyay10by1tYXJrZXQvYS1icmllZi1oaXN0b3J5LW9mLXNob3J0LXNxdWVlemVzLWJlZm9yZS1nYW1lc3RvcC0xMTYxMTkxNjE4Nzk3My5odG1s0gF4aHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9tYXJrLXRvLW1hcmtldC9hLWJyaWVmLWhpc3Rvcnktb2Ytc2hvcnQtc3F1ZWV6ZXMtYmVmb3JlLWdhbWVzdG9wL2FtcC0xMTYxMTkxNjE4Nzk3My5odG1s?oc=5,"Fri, 29 Jan 2021 08:00:00 GMT"
Delhi HC directs Future to file response to Amazon plea - IndiaTimes,https://news.google.com/rss/articles/CBMitwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vaW5kdXN0cnkvc2VydmljZXMvcmV0YWlsL2hjLXNlZWtzLWZ1dHVyZS1yZXRhaWxzLXN0YW5kLW9uLWFtYXpvbi1wbGVhLXRvLXNldC1hc2lkZS1jb3VydHMtb2JzZXJ2YXRpb25zLWFnYWluc3QtaXQvYW1wX2FydGljbGVzaG93LzgwMjQ3MjM1LmNtcz9hcnRpY2xlbm89MzfSAbcBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL2luZHVzdHJ5L3NlcnZpY2VzL3JldGFpbC9oYy1zZWVrcy1mdXR1cmUtcmV0YWlscy1zdGFuZC1vbi1hbWF6b24tcGxlYS10by1zZXQtYXNpZGUtY291cnRzLW9ic2VydmF0aW9ucy1hZ2FpbnN0LWl0L2FtcF9hcnRpY2xlc2hvdy84MDI0NzIzNS5jbXM_YXJ0aWNsZW5vPTM3?oc=5,"Wed, 13 Jan 2021 08:00:00 GMT"
"Low price denomination stocks dominate investor interest, shows data - Business Standard",https://news.google.com/rss/articles/CBMiiQFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9tYXJrZXRzL2xvdy1wcmljZS1kZW5vbWluYXRpb24tc3RvY2tzLWRvbWluYXRlLWludmVzdG9yLWludGVyZXN0LXNob3dzLWRhdGEtMTIxMDExMjAxNzEyXzEuaHRtbNIBjQFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYW1wL2FydGljbGUvbWFya2V0cy9sb3ctcHJpY2UtZGVub21pbmF0aW9uLXN0b2Nrcy1kb21pbmF0ZS1pbnZlc3Rvci1pbnRlcmVzdC1zaG93cy1kYXRhLTEyMTAxMTIwMTcxMl8xLmh0bWw?oc=5,"Tue, 12 Jan 2021 08:00:00 GMT"
Gainers & Losers: 10 stocks that moved the most on January 21 - Moneycontrol,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvcGhvdG9zL2J1c2luZXNzL3N0b2Nrcy9nYWluZXJzLWxvc2Vycy0xMC1zdG9ja3MtdGhhdC1tb3ZlZC10aGUtbW9zdC1vbi1qYW51YXJ5LTIxLTYzNzg3MTEuaHRtbNIBhAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvcGhvdG9zL2J1c2luZXNzL3N0b2Nrcy9nYWluZXJzLWxvc2Vycy0xMC1zdG9ja3MtdGhhdC1tb3ZlZC10aGUtbW9zdC1vbi1qYW51YXJ5LTIxLTYzNzg3MTEuaHRtbC9hbXA?oc=5,"Thu, 21 Jan 2021 08:00:00 GMT"
"Axis Bank, Tata Steel, NMDC among 65 stocks look set to rally, suggests MACD - IndiaTimes",https://news.google.com/rss/articles/CBMikgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9heGlzLWJhbmstdGF0YS1zdGVlbC1ubWRjLWFtb25nLTY1LXN0b2Nrcy1sb29rLXNldC10by1yYWxseS1zdWdnZXN0cy1tYWNkL2FydGljbGVzaG93LzgwMTA5NzM5LmNtc9IBlgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9heGlzLWJhbmstdGF0YS1zdGVlbC1ubWRjLWFtb25nLTY1LXN0b2Nrcy1sb29rLXNldC10by1yYWxseS1zdWdnZXN0cy1tYWNkL2FtcF9hcnRpY2xlc2hvdy84MDEwOTczOS5jbXM?oc=5,"Tue, 05 Jan 2021 08:00:00 GMT"
"Reliance Petroleum case: Sebi imposes fines on RIL, Mukesh Ambani - Business Standard",https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9tYXJrZXRzL3JlbGlhbmNlLXBldHJvbGV1bS1jYXNlLXNlYmktaW1wb3Nlcy1maW5lcy1vbi1yaWwtbXVrZXNoLWFtYmFuaS0xMjEwMTAyMDAwNTFfMS5odG1s0gGJAWh0dHBzOi8vd3d3LmJ1c2luZXNzLXN0YW5kYXJkLmNvbS9hbXAvYXJ0aWNsZS9tYXJrZXRzL3JlbGlhbmNlLXBldHJvbGV1bS1jYXNlLXNlYmktaW1wb3Nlcy1maW5lcy1vbi1yaWwtbXVrZXNoLWFtYmFuaS0xMjEwMTAyMDAwNTFfMS5odG1s?oc=5,"Sat, 02 Jan 2021 08:00:00 GMT"
Reliance Retail to engage kiranas for direct-to-consumer sales through JioMart: Report - Moneycontrol,https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvcmVsaWFuY2UtcmV0YWlsLXRvLWV4aXQtZnJvbS1qaW9tYXJ0cy1kaXJlY3Qtc2FsZS1lbmdhZ2Uta2lyYW5hcy10by1zZWxsLXByb2R1Y3RzLXJlcG9ydC02MzMzOTcxLmh0bWzSAZQBaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL3JlbGlhbmNlLXJldGFpbC10by1leGl0LWZyb20tamlvbWFydHMtZGlyZWN0LXNhbGUtZW5nYWdlLWtpcmFuYXMtdG8tc2VsbC1wcm9kdWN0cy1yZXBvcnQtNjMzMzk3MS5odG1sL2FtcA?oc=5,"Tue, 12 Jan 2021 08:00:00 GMT"
"Mukesh Ambani's Jio is the world's fifth strongest brand, here are the others - Jio enters the ranking - IndiaTimes",https://news.google.com/rss/articles/CBMisgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9jb21wYW55L2NvcnBvcmF0ZS10cmVuZHMvbXVrZXNoLWFtYmFuaXMtamlvLWlzLXRoZS13b3JsZHMtZmlmdGgtc3Ryb25nZXN0LWJyYW5kLWhlcmUtYXJlLXRoZS1vdGhlcnMvamlvLWVudGVycy10aGUtcmFua2luZy9zbGlkZXNob3cvODA1NzIwMDcuY21z0gEA?oc=5,"Fri, 29 Jan 2021 08:00:00 GMT"
Retail investors in driver's seat; dwarf FII flow into mkts in 2 yrs: UBS - Business Standard,https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9tYXJrZXRzL3JldGFpbC1pbnZlc3RvcnMtaW4tZHJpdmVyLXMtc2VhdC1kd2FyZi1maWktZmxvdy1pbnRvLW1rdHMtaW4tMi15cnMtdWJzLTEyMTAxMjUwMDQyMV8xLmh0bWzSAZEBaHR0cHM6Ly93d3cuYnVzaW5lc3Mtc3RhbmRhcmQuY29tL2FtcC9hcnRpY2xlL21hcmtldHMvcmV0YWlsLWludmVzdG9ycy1pbi1kcml2ZXItcy1zZWF0LWR3YXJmLWZpaS1mbG93LWludG8tbWt0cy1pbi0yLXlycy11YnMtMTIxMDEyNTAwNDIxXzEuaHRtbA?oc=5,"Mon, 25 Jan 2021 08:00:00 GMT"
